id,name,code,user_type_id/id,reconcile
l10n_bd.1_0010,Software,1000,account.data_account_type_fixed_assets,FALSE
l10n_bd.1_0011,Software Depreciation,1100,account.data_account_type_fixed_assets,FALSE
l10n_bd.1_0020,Patents & Trademarks,2000,account.data_account_type_fixed_assets,FALSE
l10n_bd.1_0021,Patents & Trademarks Depreciation,2100,account.data_account_type_fixed_assets,FALSE
l10n_bd.1_0030,Fixtures and fittings,3000,account.data_account_type_fixed_assets,FALSE
l10n_bd.1_0031,Fixtures and fittings Depreciation,3100,account.data_account_type_fixed_assets,FALSE
l10n_bd.1_0040,Land and buildings,4000,account.data_account_type_fixed_assets,FALSE
l10n_bd.1_0041,Land and buildings Depreciation,4100,account.data_account_type_fixed_assets,FALSE
l10n_bd.1_0050,Motor vehicles,5000,account.data_account_type_fixed_assets,FALSE
l10n_bd.1_0051,Motor vehicles Depreciation,5100,account.data_account_type_fixed_assets,FALSE
l10n_bd.1_0060,Office equipment (inc computer equipment),6000,account.data_account_type_fixed_assets,FALSE
l10n_bd.1_0061,Office equipment (inc computer equipment) Depreciation,6100,account.data_account_type_fixed_assets,FALSE
l10n_bd.1_0070,Plant and machinery,7000,account.data_account_type_fixed_assets,FALSE
l10n_bd.1_0071,Plant and machinery Depreciation,7100,account.data_account_type_fixed_assets,FALSE
l10n_bd.1_1001,Stock,100100,account.data_account_type_current_assets,TRUE
l10n_bd.1_1002,Work in Progress,100200,account.data_account_type_current_assets,FALSE
l10n_bd.1_1003,Finished Goods,100300,account.data_account_type_current_assets,FALSE
l10n_bd.101120,Stock Interim Account (Received),101120,account.data_account_type_current_liabilities,TRUE
l10n_bd.101130,Stock Interim Account (Delivered),101130,account.data_account_type_current_assets,TRUE
l10n_bd.1_1100,Debtors Control Account,110000,account.data_account_type_receivable,TRUE
l10n_bd.1_1101,Sundry Debtors,110100,account.data_account_type_receivable,TRUE
l10n_bd.1_1102,Other Debtors,110200,account.data_account_type_current_assets,FALSE
l10n_bd.1_1103,Prepayments,110300,account.data_account_type_current_assets,FALSE
l10n_bd.1_1200,Bank,120001,account.data_account_type_liquidity,FALSE
l10n_bd.1_1210,Cash,121001,account.data_account_type_liquidity,FALSE
l10n_bd.1_1220,Liquidity Transfer,122001,account.data_account_type_current_assets,TRUE
l10n_bd.1_1240,Company Credit Card,124000,account.data_account_type_current_assets,TRUE
l10n_bd.1_2100,Creditors Control Account,210000,account.data_account_type_payable,TRUE
l10n_bd.1_2101,Sundry Creditors,210100,account.data_account_type_current_liabilities,FALSE
l10n_bd.1_2102,Other Creditors,210200,account.data_account_type_current_liabilities,FALSE
l10n_bd.1_2109,Accruals,210900,account.data_account_type_current_liabilities,FALSE
l10n_bd.1_2150,Bad debt provision,215000,account.data_account_type_current_liabilities,FALSE
l10n_bd.1_2200,Sales Tax Control Account,220000,account.data_account_type_current_liabilities,FALSE
l10n_bd.1_2201,Purchase Tax Control Account,220100,account.data_account_type_current_assets,FALSE
l10n_bd.1_2202,HMRC - VAT Account,220200,account.data_account_type_payable,TRUE
l10n_bd.1_2204,Manual Adjustments ï¾– VAT,220400,account.data_account_type_current_liabilities,FALSE
l10n_bd.1_2210,P.A.Y.E. & NI,221000,account.data_account_type_payable,TRUE
l10n_bd.1_2220,Net Wages,222000,account.data_account_type_payable,TRUE
l10n_bd.1_2230,Pension Fund,223000,account.data_account_type_payable,TRUE
l10n_bd.1_2300,Loans,230000,account.data_account_type_current_liabilities,FALSE
l10n_bd.1_2310,Hire Purchase,231000,account.data_account_type_current_liabilities,FALSE
l10n_bd.1_2320,Corporation Tax,232000,account.data_account_type_payable,TRUE
l10n_bd.1_2330,Mortgages,233000,account.data_account_type_current_liabilities,FALSE
l10n_bd.1_3000,Called up share capital,300000,account.data_account_type_equity,FALSE
l10n_bd.1_3010,Share premium account,301000,account.data_account_type_equity,FALSE
l10n_bd.1_3020,Revaluation reserve,302000,account.data_account_type_equity,FALSE
l10n_bd.1_3030,Other reserves,303000,account.data_account_type_equity,FALSE
l10n_bd.1_4000,Sales category 1,400000,account.data_account_type_revenue,FALSE
l10n_bd.1_4001,Sales category 2,400100,account.data_account_type_revenue,FALSE
l10n_bd.1_4002,Sales category 3,400200,account.data_account_type_revenue,FALSE
l10n_bd.1_4003,Sales category 4,400300,account.data_account_type_revenue,FALSE
l10n_bd.1_4900,Bank Interest received,490000,account.data_account_type_revenue,FALSE
l10n_bd.1_4910,Investment Interest received,491000,account.data_account_type_revenue,FALSE
l10n_bd.1_5000,Cost of sales 1,500000,account.data_account_type_expenses,FALSE
l10n_bd.1_5001,Cost of sales 2,500100,account.data_account_type_expenses,FALSE
l10n_bd.1_5002,Cost of sales 3,500200,account.data_account_type_expenses,FALSE
l10n_bd.1_5003,Cost of sales 4,500300,account.data_account_type_expenses,FALSE
l10n_bd.1_6000,"Marketing, POS",600000,account.data_account_type_expenses,FALSE
l10n_bd.1_6001,Exhibitions and events,600100,account.data_account_type_expenses,FALSE
l10n_bd.1_6002,PR,600200,account.data_account_type_expenses,FALSE
l10n_bd.1_6010,Distribution vehicles,601000,account.data_account_type_expenses,FALSE
l10n_bd.1_6020,Distribution salaries and wages,602000,account.data_account_type_expenses,FALSE
l10n_bd.1_6030,Shipping,603000,account.data_account_type_expenses,FALSE
l10n_bd.1_7000,Directors pension,700000,account.data_account_type_expenses,FALSE
l10n_bd.1_7001,Directors remuneration,700100,account.data_account_type_expenses,FALSE
l10n_bd.1_7010,Admin gross salaries,701000,account.data_account_type_expenses,FALSE
l10n_bd.1_7011,Management gross salaries,701100,account.data_account_type_expenses,FALSE
l10n_bd.1_7012,Employers NIC,701200,account.data_account_type_expenses,FALSE
l10n_bd.1_7020,Subcontractors payments,702000,account.data_account_type_expenses,FALSE
l10n_bd.1_7100,Rent and rates,710000,account.data_account_type_expenses,FALSE
l10n_bd.1_7110,"Light, heat and power",711000,account.data_account_type_expenses,FALSE
l10n_bd.1_7120,"Repairs, renewals and maintenance",712000,account.data_account_type_expenses,FALSE
l10n_bd.1_7300,Car hire,730000,account.data_account_type_expenses,FALSE
l10n_bd.1_7301,Car fuel,730100,account.data_account_type_expenses,FALSE
l10n_bd.1_7302,Car maintenance,730200,account.data_account_type_expenses,FALSE
l10n_bd.1_7502,Telephone,750200,account.data_account_type_expenses,FALSE
l10n_bd.1_7503,Internet & hosting,750300,account.data_account_type_expenses,FALSE
l10n_bd.1_7504,Mobiles,750400,account.data_account_type_expenses,FALSE
l10n_bd.1_7505,Stationery,750500,account.data_account_type_expenses,FALSE
l10n_bd.1_7506,Office consumables,750600,account.data_account_type_expenses,FALSE
l10n_bd.1_7507,Postage and Carriage,750700,account.data_account_type_expenses,FALSE
l10n_bd.1_7508,Books,750800,account.data_account_type_expenses,FALSE
l10n_bd.1_7509,Network costs,750900,account.data_account_type_expenses,FALSE
l10n_bd.1_7510,Software expenses,751000,account.data_account_type_expenses,FALSE
l10n_bd.1_7511,Other computer costs,751100,account.data_account_type_expenses,FALSE
l10n_bd.1_7512,Recruitment fees,751200,account.data_account_type_expenses,FALSE
l10n_bd.1_7513,Other admin expenses,751300,account.data_account_type_expenses,FALSE
l10n_bd.1_7601,Accounting,760100,account.data_account_type_expenses,FALSE
l10n_bd.1_7602,Auditing,760200,account.data_account_type_expenses,FALSE
l10n_bd.1_7610,Consultancy,761000,account.data_account_type_expenses,FALSE
l10n_bd.1_7620,Legal and professional charges,762000,account.data_account_type_expenses,FALSE
l10n_bd.1_7700,Exchange gains/losses,770000,account.data_account_type_expenses,FALSE
l10n_bd.1_7710,Other sundry expenses,771000,account.data_account_type_expenses,FALSE
l10n_bd.1_7850,Bad debts,785000,account.data_account_type_expenses,FALSE
l10n_bd.1_7900,Interest paid,790000,account.data_account_type_expenses,FALSE
l10n_bd.1_7910,"Bank, credit card and other financial charges",791000,account.data_account_type_expenses,FALSE
l10n_bd.1_8000,Intangible assets depn,800000,account.data_account_type_expenses,FALSE
l10n_bd.1_8001,Tangible assets depn,800100,account.data_account_type_expenses,FALSE
l10n_bd.1_8200,Donations,820000,account.data_account_type_expenses,FALSE
l10n_bd.1_8300,Entertaining,830000,account.data_account_type_expenses,FALSE
l10n_bd.1_8400,Insurance,840000,account.data_account_type_expenses,FALSE
l10n_bd.1_8500,Travel and subsistence,850000,account.data_account_type_expenses,FALSE
l10n_bd.1_8800,Corporation tax expense,880000,account.data_account_type_expenses,FALSE
l10n_bd.1_9000,Profits/Losses on disposals of assets,900000,account.data_account_type_revenue,FALSE
l10n_bd.1_9999,Undistributed Profits/Losses,999999,account.data_unaffected_earnings,FALSE
